Freiburg-Breisgau;BSL;admin:osm:relation:62768
Charleroi;CRL;admin:osm:relation:2113725
Rotterdam;RTM;admin:osm:relation:409806
Zurich;ZRH;admin:osm:relation:1682248
Luxembourg;LUX;admin:osm:relation:407489
Dusseldorf;DUS;admin:osm:relation:62539
Genève;GVA;admin:osm:relation:1685488
Sarrebruck;SCN;admin:osm:relation:1187159
Bruxelles;BRU;admin:osm:relation:58248
Dortmund;DTM;admin:osm:relation:1829065
Amsterdam;AMS;admin:osm:relation:271110
Bâle;BSL;admin:osm:relation:1683619
Milan;LIN;admin:osm:relation:44915
Londres;LHR;admin:osm:relation:65606
Paris;CDG;admin:fr:75056;CDG
Nice;NCS;admin:fr:06088
Lyon;LYS;admin:fr:69300
Toulouse;TLS;admin:fr:31555
Marseille;MRS;admin:fr:13055
Mulhouse;MLH;admin:fr:68224
Bordeaux;BOD;admin:fr:33063
Nantes;NTE;admin:fr:44109
Lille;LIL;admin:fr:59350
Montpellier;MPL;admin:fr:34172
Biarritz;BIA;admin:fr:64122
Strasbourg;SXB;admin:fr:67482
Brest;BES;admin:fr:29019
Rennes;RNS;admin:fr:35238
Pau;PUF;admin:fr:64445
Toulon;TLN;admin:fr:83137
Perpignan;PGF;admin:fr:66136
Tarbes;LDE;admin:fr:65440
Clermont-Ferrand;CFE;admin:fr:63113
Carcassonne;CCF;admin:fr:11069
Grenoble;GNB;admin:fr:38185
Metz;ETZ;admin:fr:57463